Title,Company,Location,Salary,Description
Data Engineer,NSM Insurance Group,"Conshohocken, PA 19428",None,"Overview:
The NSM Insurance Group’s Strategic Analytics Team goal is to provide analytical insights to business stakeholders to drive data driven decisions. The team serves all departments across NSM Insurance Group, including but not limited to, Marketing, Finance, and Underwriting.

The Data Engineer is an exciting new specialized role to assist the scalability of an already growing Analytics team. You will not only be a part of a growing company, but a part of a growing team spear heading the data driven transformation strategy. In addition to assisting with designing, building, and enhancing data marts, pipelines and warehouses, you will have the opportunity to work with new technology and truly impact the digital transformation of NSM Insurance Group’s niche programs.
Responsibilities:
Participate in design, documentation and development of best-in-class Insurance Enterprise Data Warehouse and serve as liaison to IT.
Solve business and data engineering problems by utilizing best practices to create and enhance data models and ETL pipelines.
Architect the data infrastructure and model deployment solutions utilizing best practices.
Assist with developing automated solutions to data problems.
Collaborate with analyst to further understand business problems.
Mentor and training opportunity to train data model designing to less experienced analysts.
Assist Director in building out DevOps best practices within the Analytics team.
Coordinate and build strong working relations with various internal stakeholder groups, including IT, Marketing, and Underwriting.
Qualifications:
Bachelors-degree in computer science, computer engineering, or similar area
Minimum 5 years of experience in data integration, management and warehouse design required.
Minimum 3 years of experience with Python/R required.
Minimum 3 years of experience utilizing database cloud platforms such as Azure, Teradata, Databricks, AWS, etc.
Previous Insurance experience required.
Previous experience designing, enhancing, and/or modifying data warehouses.
Advanced data processing programming skills across SQL-based and Hadoop-based technologies.
Previous experience using Microsoft suite of Extract Transform Load (ETL) tools such as SSIS and Azure Data Factory.
Previous experience utilizing business intelligence visualizations tools such as MS Power BI, Tableau, Qlik, etc.
Demonstrated project management skills and ability to work independently to prioritize workload and handle multiple responsibilities, deadlines, etc.
Strong organizational, problem-solving, and critical thinking abilities.
High attention to detail to identify, evaluate and resolve data quality issues and conduct data sanity check.
Thrives in a team-oriented, results-driven environment.
Excellent oral presentation and written communication skills."
Jr. Big Data Engineer,Enhance IT,Pennsylvania,None,"Big Data Engineer
Full-Time. Multiple Locations
Annual Salary Range: Based on experience
Full benefits including:
Medical/Dental/Vision /Paid travel/Paid Time Off/ 401(k) savings plan
Who We Are:
Enhance IT is an IT/Management firm that specializes in continued education, placement and IT consultation. We are an industry leader in providing top-level skilled and experienced consultants in a variety of technologies to meet our client’s needs in today’s fast paced environment.
What you will be doing:
You will be joining our growing team of analytics experts. We want individuals who are comfortable asking “why”. The ideal candidate is a data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. The right candidate will be excited by the prospect of optimizing or even re-designing a company’s data architecture to support next generation and data initiatives. They must be self-directed and comfortable supporting the data needs of multiple teams, systems and products. They are a team player possessing strong analytical as well as technical skills and are able to communicate the logic behind technical decisions to non-tech stakeholders.
What you need for this position:
Degree in Computer Science, Information Systems or equivalent quantitative field and 3+ years of experience in a similar Big Data Engineer role.
Demonstrated ability to build processes that support data transformation, data structures, metadata, dependency and workload management
Strong interpersonal skills and ability to project manage and work with cross-functional teams
Working SQL knowledge with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
Bonus points:
Relational SQL and NoSQL databases
Object-oriented/Object function scripting languages such as Python, Scala, etc.
Job Type: Full-time
Work Location:
Multiple locations
Benefits:
Health insurance
Dental insurance
Vision insurance
Retirement plan
Paid time off"
Data Engineer,ClientSolv Technologies,"Philadelphia, PA",$55 - $65 an hour,"ClientSolv Technologies is an IT solution firm with over a decade of experience serving Fortune 1000 companies, public sector and small to medium sized companies. ClientSolv Technologies is a woman-owned and operated company that is certified as a WMBE, 8a firm by the Federal government's Small Business
Title: Data Engineer
Duration -12 months
Location : Philadelphia, PA, will be remote to start due to COVID but must be onsite at PA
Interview : 3 rounds
Code challenge
Phone
WebEx
Job Description
As a data software engineer on the Data Science and Engineering team, you will be part of a team that thrives on big challenges, results, quality, and agility. You will work closely with business stakeholders, data analysts, and data scientists within the organization developing software solutions helping to deliver insights into customer and network behavior that drive business decisions shaping the future .
Develop large scale, cloud based data pipelines for the collection and processing of device telemetry and network events, providing both a real time and historical view into the operation of our products and services. Work on high performance, real time data stores and a massive historical data sets using best-of-breed and industry leading technology. Expose services over REST APIs. Work closely with various engineering teams to solve key optimization, insight and access network data challenges.
Responsibilities:
 Developing large scale data pipelines exposing data sources within company to our team of data analysts and data scientists.
 Developing REST APIs utilizing AWS lambda and API Gateway.
 Developing Spark streaming and batch jobs to clean and transform data.
 Writing build automation to deploy and manage cloud resources.
 Writing unit and integration tests.
Some of the specific technologies in use:
 Programming Languages (Python, Scala, Golang, Node.js)
 Build Environment: GitHub Enterprise, Concourse CI, Jira, Serverless, SAM
 Cloud Computing (AWS Lambda, EC2, ECS)
 Spark (AWS EMR, Databricks)
 Stream Data Platforms: Kinesis, Kafka
 Databases: S3, MySQL, Oracle, MongoDB, DynamoDB
 Caching Frameworks (ElasticCache/Redis)
Requirements:
 BS/MS degree in Computer Science, Mathematics,or other relevant science and engineering discipline.
 4+ years working as a software engineer.
 2+ years working within an enterprise data lake/warehouse environment or big data architecture.
 Excellent programming skills with experience in at least one of Python, Scala, Java, Node.js.
 Great communication skills.
 Proficiency in testing frameworks and writing unit/integration tests
 Proficiency in Unix-based operating systems and bash scripts.
Preferred Additional Skills:
 Experience with working in Spark
 Experience with AWS
 Experience with monitoring and visualization tools such as Grafana, Prometheus, Data Dog, andCloudwatch.
 Experience with NoSQL databases, such asDynamoDB, MongoDB, Redis, Cassandra, or HBase
Job Type: Contract
Pay: $55.00 - $65.00 per hour
Schedule:
Monday to Friday
Experience:
AWS: 1 year (Preferred)
enterprise data lake/warehouse environment or bigdata archit: 3 years (Preferred)
Spark: 1 year (Preferred)
of Python, Scala, Java, Node.js: 3 years (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Data Scientist,HSN,"West Chester, PA",None,"Our Data Scientist is responsible for in-depth analysis of data across QVC and HSN leading to actionable insights and recommendations. This usually involves statistical and non-statistical modeling, simulations, optimization, and A/B testing.

Relevant areas include consumer behavior, customer journey, e-commerce, television, marketing, and operations. Example projects include marketing mix optimization, airtime optimization, price elasticity estimation, and direct-response marketing targeting and effectiveness measurement.
Job Description Details
What you’ll do:
Construct analytic data sets for exploration, modeling, insight generation
Conduct in-depth data analysis, data and prepare visualizations summarizing key features of the data
Develop accurate models for forecasting and inference
Develop test designs, hypotheses, success metrics, and test requirements, and execute test analysis
Work with stakeholders to define business questions and success criteria
Present results and consult the business on next steps
Conduct change management for new methodologies
Research best practices, technologies, tools, and trends
Guide and mentor other analytics team members (Center of Excellence)
Work with IT on productionalization, data accuracy
Develop novel techniques or maintain legacy codes when needed
Who you are:
Advanced degree (Master’s/PhD) in Statistics, Economics, Computer Science or other quantitative discipline
Expertise in various statistical methodologies such as regression analysis, cluster analysis, decision trees, factor analysis/principal component analysis, time series, survival models
2+ years experience in data integration with SQL
2+ years experience in statistical programming in SAS (strongly preferred) and/or R, Python
Experience in data visualization and exploration tools (Tableau preferred)
Strong statistical knowledge and knowledge of test design
Experience distilling and presenting complex concepts to a business audience
2+ years experience using web analytics programs such as Coremetrics (preferred) or Google Analytics
2+ years experience using A/B and Multivariate testing tools; experience with A/B testing analysis preferred
Experience at a B2C e-commerce company a plus
#LI-CF1
About QVC, Inc
QVC, Inc., exceeds the expectations of everyone we touch by delivering the joy of discovery through the power of relationships. Every day, in nine countries, QVC engages millions of shoppers in a journey of discovery through an ever-changing collection of familiar brands and fresh new products, from home and fashion to beauty, electronics and jewelry. Along the way, we connect shoppers to interesting personalities, engaging stories, and award winning customer service. Based in West Chester, Pa. and founded in 1986, QVC has more than 17,000 employees and has retail operations in the U.S., Japan, Germany, United Kingdom, Italy, France, and through a joint venture in China. Worldwide, QVC engages shoppers on 14 broadcast networks reaching approximately 370 million homes, seven websites, and 220 social pages. Visit corporate.qvc.com to learn more.
QVC, Inc., is a wholly owned subsidiary of Qurate Retail, Inc. (NASDAQ : QRTEA, QRTEB), which includes QVC, HSN, zulily and the Cornerstone brands (collectively, ""Qurate Retail Group""), as well as other minority investments. Qurate Retail Group believes in a third way to shop - beyond transactional ecommerce or traditional brick-and-mortar stores - and is #1 in video commerce,#3 in ecommerce in North America and #3 in mobile commerce in the U.S. (according to Internet Retailer). For more information, visit www.qurateretailgroup.com . QVC, Q, and the Q Ribbon Logo are registered service marks of ER Marks, Inc.
EEO
As an equal opportunity employer, Qurate Retail Group is committed to a diverse workforce and is also committed to a barrier-free employment process. In order to ensure reasonable accommodations for individuals pursuant to applicable law, individuals that require accommodation in the job application process for a posted position may contact us at CareersUS@QVC.com for assistance."
Director Data Science,Penfield Search Partners,"Philadelphia, PA",None,"Responsibilities
Gather data collection requirements from various stakeholders for systems/applications deployed to collect clinical trial data (eCRFs, ePRO, eCOA, etc.), including adherence to defined standards. Perform user acceptance testing to ensure high quality deliverables and inspection readiness
Ensure effective quality oversight and management of external partners (e.g. Specialty labs, CROs, technology providers, etc.) performing data management services. Implement a quality plan defining the review strategy for each clinical trial in collaboration with various stakeholders (e.g. statistics, medical, safety, clinical development, clinical operations, etc.), enhancing quality of patient data for statistical analyses and support regulatory filings, publications and other high-profile business activities.
Accountable for data management operations: ensuring data accuracy and quality for assigned studies, timely input to study documents and sites are working effectively toward reconciliation, data coding and integration of lab data. Guide and review SDTM datasets supplied by the vendor to ensure consistency across a program and indication. Review and provide feedback on study documents, such as study manual, lab manual, and monitoring plan.
Contribute to the development and application of smart systems. Optimize approaches that support the collection, integration, monitoring, review, and reporting of data to simplify/enhance the user experience or lead to efficiencies in execution
Focus on continuous improvement, define and implement the changes required to create an industry-leading clinical data capability, including electronic data capture, external data integration, ad-hoc analysis and end-to-end data standards.
Develop strong working relationships with key stakeholders, with the ability to think strategically across a broad portfolio and effectively express her/his views to senior management.
Requirements:
MS/BS in life sciences or related field (MS preferred)
At least 7 years of relevant industry experience, with oversight of external partners in a global setting.
Project management certification (e.g. PMP) is a plus.
Competencies:
Demonstrated expertise in the management of clinical trial data is a must. Prior experience providing data management support in gene therapy, rare disease and/or observational studies is a plus. Working with specialty labs is highly desirable.
Global clinical trial expertise and a successful track record of leading through influence, working across global organizational matrices.
Strong knowledge of industry leading eCRF tools (e.g. Medidata Rave, Oracle, etc.) and well versed in industry trends and emerging technologies supporting data collection.
Solid understanding of database and dictionary structures (e.g. MedDRA, WHODrug).
Technical expertise, technical writing ability, and proficiency in Systems Development LifeCycle (SDLC) principles.
Well versed in industry trends and emerging technologies concerning data review.
Job Type: Full-time"
Data Engineer,Prospect 33,"Philadelphia, PA",None,"We are looking for a seasoned data engineer who can work with a leading hedge fund in Philadelphia. You'll be working with an elite group of data specialists helping aggregate critical data. A background in Azure & AWS is needed as well as the usual stack of technologies.

Further details of this role will come available shortly. Interested parties, please drop me a line directly.

Remote work until the end of the virus then location in central Phili.

#LI-TS1"
Junior Data Scientist,Invent Analytics,"Philadelphia, PA",None,"Join Invent to become a part of a talented team of innovators who are passionate about
creating cutting-edge data analytics technology. We are seeking talented and motivated
engineers and data scientists to develop advanced forecasting and optimization solutions.
Invent Analytics is a leader in the field of retail analytics. We provide software-as-a service solutions and consulting services to major retailers in Europe and the U.S. Our solutions encapsulate intelligent business logic, utilizing optimization techniques, forecasting and decision-making algorithms.
We are currently seeking full-time Junior Data Scientists to join our Philadelphia office.
Qualifications
BSc / MSc degree from a quantitative field such as Industrial Engineering, Mathematics, and Computer Engineering.
Strong analytical thinking and problem solving skills.
Strong background in Statistics, Mathematical Modeling, Operations Research.
Experience with statistical packages such as R, SPSS and SAS is a big plus.
Appreciation of team spirit.
Excellent communication and organizational skills.
No military obligation or postponement for at least 2 years for male candidates
Responsibilities:
Developing a forecasting and inventory planning process to improve key planning decisions of leading retail firm.
Performing assigned tasks as part of the project team, working together with IT team in overseeing data transfer, performing analysis on data sets, helping the design and optimization of algorithms and documentation of key project deliverable milestones.
Submit resume/CV: careers@inventanalytics.com"
Junior Data Scientist,"Data-Core System, Inc.","Philadelphia, PA 19102 (City Center West area)",None,"Data-Core Systems Inc. is a worldwide provider of information technology and business process outsourcing services. Data-Core combines technology innovation, business process expertise, and a global, collaborative workforce that exemplifies the future of work.

Data Engineering at Data-Core Systems is inspired to build best in class customer experience and revolutionize the food and drug retail industry. We are looking for people who are excited about reimagining the grocery experience by harnessing the power of data and digital technologies. The Data Engineering team uses the Big Data paradigm to make data available for data scientists and a multitude of other business users to draw insights to delight our customers, to improve store operations, to optimize the supply chain, and to proactively improve product lifecycle. You will enjoy working with one of the richest data sets in the world, cutting edge technology, and the ability to see your insights turned into business impacts on a regular basis.

The ideal candidate will have a background in computer science or a related technical field with experiences working with large data sets, analytical platforms, and a passion for enabling data-driven decision making. A successful candidate will be both technically strong and business savvy, with a passion to make an impact through creative storytelling and timely actions. You are a self-starter, smart yet humble, with a bias for action.

Key Responsibilities Include But Are Not Limited To

Design, build and optimize workflows for ML model training, validation, inference, and monitoring in the cloud environment
Work with data scientists, architects, and engineers to build an end to end ML life cycle management solutions
Design and build highly scalable ML pipelines using new generation tools and technologies like Databricks, Azure ML other cloud technologies
Build CI/CD frameworks to automate ML model deployments and monitoring
Implement, communicate and enforce best practices and standards
Work with cross-functional teams across the organization in varying roles
Provide production support as needed

Qualifications

BS in Computer Science, Information Systems, Engineering or Mathematics
5+ years of experience in data engineering or software engineering
5+ years of experience with Spark, Spark Streaming, Kafka, Databricks, Azure ML or related technologies to build Data and ML pipelines
5+ years of experience with at least one programming language like Python or Java
3+ years of experience in one or more of these areas: Machine Learning, Deep Learning, NLP
Experience with workflow management and scheduling tools like Airflow
Knowledge of Jenkins for continuous integration and End-to-End automation for application build and deployments
Proven capabilities for strong written and oral communication skills
Ability to integrate into a project team environment and contribute to project planning activities
Experience in developing implementation plans and schedules and preparing documentation for the jobs according to the business requirements"
Data Scientist,Kulicke and Soffa,"Fort Washington, PA 19034",None,"Are you willing to make a difference?
Data Scientist:
At Kulicke and Soffa, (NASDAQ:KLIC) our engineers make that decision daily. We are an international leading provider of robotic semiconductor packaging and electronic assembly solutions supporting the global automotive, consumer, communications, computing and industrial segments. Meaning…medical equipment (including ventilators), cell phones, autonomous automobiles, computers, space operations …all of these use products that our equipment helps to make.
We are seeking a Data Scientist who is energized by a passion to create next generation products. If you are driven, curious and an explorer of advanced technologies, we would like to hear from you.
Position summary:
Duties:
Work with cross-functional teams to research, develop and deliver solutions for machine learning problems, from concept, to design and implementation
Develop data pipelines for data preprocessing, analysis and model development
Experience :
Experience with machine learning, including classification, clustering and outlier detection
Experience with machine learning for temporal data (time-series):
Basic characteristics of time-series and theory of time-series analysis
Experience with novelty and outlier detection for time-series
Experience with classification of time-series: classical techniques and Neural networks
Tools:
Fluent in the common python data science tool stack (Numpy, Scipy, Sklearn, Jupyter notebook/lab )
Experience with developing visualizations using Python (Matplotlib, Plotly, Seaborn, Bokeh)
Experience with standard industrial data analytics tools is a plus (JMP, Tableau)
Strong Computer Science background and programming experience
Fluent with 1 or more programming language (Python, Java, ..)
Experience with Object oriented design
Experience with databases (SQL).
Minimum bachelor’s degree in Computer Science or related program, Graduate degree preferred
Nice to have:
Knowledge of statistical process control (SPC)
Background in designing data storage solutions
Experience with No-SQL databases

What we have to offer: Competitive salary with bonus, 401K, innovative work environment that can offer cross functional challenging projects, variety and continual learning growth is a given not a maybe, supportive/friendly/brilliant co-workers rated highest in satisfaction from our internal employee survey.
Interested?
We began as a start-up and now 65 years later as a successful public corporation, still retain the spirit of offering our core values to employees and customers alike. With R&D centers of excellence in the USA, Europe and Asia, we bring together today’s generation of talent, collaborating on tomorrow’s technologies. For more information, please forward your resume to us.
Kulicke & Soffa is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, or protected veteran status.
Powered by JazzHR
FAbCiEqtx5"
"Data Science - Online Adjunct, Graduate Level",University of the Sciences in Philadelphia,"Philadelphia, PA 19104 (Spruce Hill area)",None,"Application Instructions:
For consideration please submit a CV and a statement of teaching philosophy. These documents must be submitted together as one document through the resume upload field.
Introduction:
University of the Sciences (USciences) is offering a new online graduate certificate in Data Science. USciences Online provides convenient, high-quality science and healthcare programs to help individuals advance their careers.
We are currently hiring adjunct instructors for 100% online, flexible programs and six term starts per year. Each term is eight weeks. Pay per Course: $2,500.00 (Graduate Level). Below is the schedule for the remainder of 2020:
Summer 2020
May 4 - Jun 26
Jun 29 - Aug 21
Fall 2020
Aug 24 - Oct 16
Oct 19 - Dec 11
This posting will remain active indefinitely to develop a pool of qualified applicants.
Position Overview:
Adjuncts will facilitate Data Science courses online/asynchronously to graduate students in USciences Online division. We are interested in innovative teaching approaches that complement the existing strengths of the University and contribute to the excellence of the learning experience and academic community.
Four Courses Available:
Introduction to Data Science
Data Collection, Management and Coding
Bio-statistical Analysis
Introduction to Statistical Programming

Specifically, the Online Adjunct will be expected to facilitate class discussion related to:
Role played by data science in different fields.
Creation of databases for different purposes and management of data within the databases.
Selecting and performing the correct type of statistical analysis to answer a question.
Interpretation of findings from statistical analyses.
Design of visualizations and tables to depict findings from statistical analyses.
Understanding the role played by statistical software in data sciences and selecting appropriate software to use for specific tasks. Analysis of organizational structure, processes and outcomes in continuous quality improvement.
Facilitate course via approved course plan/syllabus provided by USciences Online
Adhere to all policies and expectations detailed in the USciences Online Adjunct Faculty Guide
Knowledge, Skills, and Abilities Required:
Master’s degree in Statistics, Data Analytics, or related field
Subject matter expert in field
Minimum 2 - 3 years of previous asynchronous, online teaching experience at the graduate level
Experience with adult learners
Access to computer: minimum computing requirements
Comfortable with all aspects of online environment
Flexible schedule to accommodate students in different time zones
Active, ongoing engagement with all students to support learning
1-week turnaround for grading online assignments
24-hour turnaround for e-mails and responses to discussion board posts
One-on-one consultations with students
Willingness/availability to participate in ongoing online faculty development
Adherence to ADA requirements for students with disabilities
The finalist will be required to successfully pass a background check.
The specific statements in this job description are not intended to be all-inclusive. They are typical criteria considered necessary to successfully perform the job.
Preferred Qualifications:
Doctoral degree in Statistics-related field


At USciences we create a better world in many ways. We educate the next generation of leaders in healthcare and science, increase the world’s knowledge and improve the lives of people around the planet.

USciences offers a wealth of opportunities for individuals seeking job, career and personal growth. Our campus community affords a wide range of faculty and staff positions that support our academic programs and students with many jobs similar to those found in private organizations.

If you are motivated by being surrounded by achievement, enjoy work with a shared purpose and want the pride that comes with being part of a winning team, join us today."
