Title,Company,Location,Salary,Description
DevOps/ Cloud Engineer,Market Resource Partners (MRP),"Philadelphia, PA 19103 (Rittenhouse area)",None,"At MRP we know it’s crucial that our people reflect the diversity of our customers from around the world. And we know that having people from all walks of life makes us a more creative and innovative company. That variety of experience, culture and background allows our teams to truly drive innovation and create a great experience for both our people and our customers. MRP is a place where we value Diversity & Inclusion and we work really hard to be a great place to work, for everyone.
Title: DevOps/ Cloud Engineer
Location: Philadelphia *open to remote location
Engagement: Full-time
MRP is a leading provider of predictive analytics software and account-based marketing services. Positioned for yet another year of growth, we are looking for a DevOps engineer to join our Belfast development team.
Company Overview:
Founded as a company focused on providing net new sales opportunities for marketing and sales teams, MRP has evolved into a leading global predictive intelligence organization, providing fully integrated, end to end, account-based marketing services. For over 16 years, clients have relied on MRP to help them achieve their revenue goals by combining cutting-edge predictive analytics with a full suite of account-based marketing services to acquire new customers.
Responsibilities:
· You will be working as part of the team responsible for MRP Prelytix. An enterprise class predictive ABM platform that drives higher response rates, pipelines conversions and pipelines values by enhancing sales and marketing execution with predictive analytics and intelligence
· You will report to our head of engineering and will work closely with our teams in Belfast, Dublin and Philadelphia
· As a member of the Prelytix team, you will help in modernizing and enhancing our award winning Prelytix product
· You will be using the latest cloud technologies to build and maintain a secure, scalable, reliable and resilient infrastructure in a public cloud environment
· You will be helping to build and improve CI/CD processes to automate the delivery of releases into dev, QA and production environments and assisting development and QA engineers in troubleshooting issues
· You will help provide visibility into various infrastructure health metrics and will report on progress towards automation improvements
Requirements:
· 3+ years of experience in managing high scale globally deployed SaaS applications in a public cloud environment such as AWS (preferred), GCP or Azure
· 3+ years experience with IAC tools and techniques such as Chef, Puppet, Ansible, CloudFormation, Terraform or others
· 3+ years of Experience with Cloud Architecture and deployments on AWS, GCP or Azure
· 3+ year experience with container and orchestration technologies such as Docker, Kubernetes, OpenShift
· Proficiency with one of the following scripting languages: Python, Typescript, Go or Ruby
· Experience with big data technologies, streaming analytics and AI would be a great asset
· Experience in martech or adtech (RTB) would also be a great asset
Benefits at MRP:
· Benefits program selection, management, communication and administration
· Onboarding and ongoing job skills development
· Setting and communicating job competencies
· Policy and culture building initiatives reflecting MRP values and guiding principles
· Employee relations structure fostering open communication and mutual respect
Job Type: Full-time
Benefits:
401(k)
401(k) Matching
Dental Insurance
Disability Insurance
Flexible Spending Account
Health Insurance
Life Insurance
Paid Time Off
Referral Program
Relocation Assistance
Retirement Plan
Tuition Reimbursement
Vision Insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus Pay
Experience:
DevOps/ Cloud: 2 years (Required)
Education:
Bachelor's (Preferred)
Work authorization:
United States (Preferred)
Visa Sponsorship Potentially Available:
No: Not providing sponsorship for this job
Work Remotely:
Yes"
DevOps Developer,RemX,"King of Prussia, PA 19406",None,"Our client has an immediate need for a DevOps Developer. This is a permanent, full time position. It can be worked remotely.

POSITION SUMMARY
This position is responsible to support the Help Desk team and Dev-Ops team. Position supports any help desk IT related issues and resolves them within specified time frames. Also, this position will work on Dev-Ops projects to assist with programming and system updates.

ESSENTIAL FUNCTIONS
Work as a part of the Infrastructure and DevOps team to automate and support the infrastructure.
Create and support applications for the Help Desk Team to automate repetitive tasks.
Assist Help Desk team during times of need.
Troubleshoot & support software applications, various hardware/software configurations and run appropriate testing & diagnostics.
Assist in monitoring infrastructure resources to ensure network availability to all system users and assist in supporting network availability.
Troubleshoot problems reported by users and by automated network monitoring systems.
Maintain proper department driven documentation.
SKILLS & ABILITIES
Computer Skills:
Docker experience is a must
Knowledge of multiple scripting languages including Python, Bash, and PowerShell.
Basic understanding of Hypervisors and Data Center storage.
Understanding of common network services and protocols (DNS, DHCP, HTTP, SSH)
Experience with Windows in an Enterprise environment
Experience with MacOS in a network setting
Basic understanding of Linux.
Familiar with basic computer knowledge, networking, installation, upgrading and maintaining software and hardware."
Sr. Cloud/ DevOps Engineer,eNGINE,"Philadelphia, PA 19103 (Rittenhouse area)","$125,000 - $140,000 a year","eNGINE builds Technical Teams. We are a Solutions and Placement firm shaped by decades of interaction with Technical professionals. Our inspiration is continuous learning and engagement with the markets we serve, the talent we represent, and the teams we build. Our Consulting Workforce is encouraged to enjoy career fulfillment in the form of challenging projects, schedule flexibility, and paid training/certifications. Successful outcomes start and finish with eNGINE.
eNGINE is hiring for a Sr. Cloud/ DevOps Engineer, who will play a key part in the enterprise migration to an AWS Cloud environment, in developing infrastructure as code for core teams. In this role, you will provide guidance and support to various internal ""lift and shift"" projects, automate infrastructure through scripting, develop and maintain CI/CD tools, lead upgrade initiatives, as well as, provide capacity planning and backup/ DR management.
This position needs someone with 8+ years experience with Cloud based solutions implementation and integrations, within an AWS environment. Advanced knowledge of AWS Services, such as Redshift, Dynamo, S3, VPC, EC2, Cloud Formation and IAM. Automation skills and experience with Chef, Ansible, Puppet, etc., and integration knowledge of DevOps pipelining. Database knowledge and skills with Oracle, SQL Server and/ or MongoDB is a plus.
Apply today and see how eNGINE can make a difference in your career!
Job Type: Full-time
Pay: $125,000.00 - $140,000.00 per year
Benefits:
401(k)
Dental Insurance
Health Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
Work Remotely:
Temporarily due to COVID-19"
DevOps Engineer,Piper Companies,"Philadelphia, PA","$125,000 - $140,000 a year","Piper Companies is looking for a DevOps Engineer for a client of ours focused in the health sciences located in Philadelphia, PA.

Responsibilities for the DevOps Engineer:
Design, develop, and manage AWS infrastructure at scale
Work with the development team developers to help automate builds and deployments
Design and architecture solutions that directly impact the enterprise

Qualifications for the DevOps Engineer:
4 to 8 yearrs of of DevOps Engineering experience
AWS experience (EC2, EBS, S3, VPC, IAM, CloudWatch)
Experience with configuration management tools (Puppet, Terraform, Ansible)
Expert level scripting experience (Python, Ruby, Bash)
Experience working as part of a development team, support operational requirements

Compensation/Benefits/Schedule for the DevOps Engineer:
$125,000 - $140,000
Comprehensive benefit package; Medical, Dental, Vision, 401k, and Paid Time Off
Citizenship status: US Citizens/Green Card Holders (sponsorship not available)
Flexible schedule (2 days remote)

Keywords:
devops engineer, automation engineer, deployment engineer, deployment specialist, devops, automation, build/deploy engineer, build engineer, release engineer, ec2, ebs, s3, vpc, iam, rds, cloudformation, cloudwatch, docker, kubernetes, openshift, octopus, openapi, tibco, servicemix, mule, tfs, jenkins, puppet, chef, ansible, terraform, python, bash, perl, ruby continuous integration, continuous deployment, ci, cd, git, gutbucket, aws, lamda, ebs, rds, beanstalk, benefits, vacation, holiday, 401k"
DevOps Specialist-,Munich Re America,"Philadelphia, PA",None,"We are adding to our diverse team of experts and are looking to hire those who are committed to building a culture that enables the creation of innovative solutions for our business and clients.

The Company
As a member of Munich Re Specialty Insurance (MRSI) operations, we offer the financial strength and stability that comes with being part of the world's preeminent insurance and reinsurance brand. Our risk experts work together to assemble the right mix of products and services to help our clients stay competitive – from traditional reinsurance coverages, to niche and specialty reinsurance as well as excess and supplemental insurance products.

The Opportunity
The Principal DevOps Specialist is responsible for designing and implementing Azure solutions (IaaS, PaaS, SaaS) and capable of handling Build/Release and Configuration management activities with TFS/VSTS/Azure DevOps/Git/Bit bucket etc. You will automate the build, test and deploy processes.

The ideal candidate will have strong knowledge and hands-on ability to automate and orchestrate on Azure, Azure DevOps, Infrastructure automation using ARM Templates and automating Azure services. Hands on experience in scripting with bash, PowerShell, Python, Terraform, Azure CLI and ARM Template as well as CI/ CD Management, CI/CD Automation and Script writing is required.

You will manage and support environments in Azure and will have a strong working understanding of networking, load balancing and firewall based security patterns. Good knowledge of application development using Agile, and DevOps best practices is a plus.

This position will work collaboratively with the E&S Solution Architect, Head of Systems Transformation as well as the Head of Enterprise Platforms to enable the processes necessary to sustain and operate DevOps enabled platforms while assuming ownership of newer platform(s) and system(s) being inducted. The right candidate will have strong leadership and negotiation skills while being future focused.

Responsibilities
Technology Delivery:
Manage the full release process. You must have hands-on experience with deploying and managing microservices using Service Fabric, Docker, Kubernetes Linux/Windows containerization.
Automate Azure services, support Cloud-Native applications and API development using .NET, .NET Core and Containers.
Contribute to application development on multiple large-scale, mission-critical systems. Work collaboratively as a key contributor on a high performing team which ships code and delivers value.
Swarm on stories or bugs as needed.

Qualifications
Three to nine years of experience with Azure DevOps + TFS
Proven expertise with Shell Scripting, PowerShell, Azure CLI and Infrastructure Automation Tools (Terraform, Salt, ARM Template). Good scripting skills is a plus.
Knowledgeable of Azure PaaS services along with hand on experience with several automation tools.
Working Experience with auto installation is a plus.
Good debugging and problem-solving skills.
Excellent verbal and written communication skills coupled with analytical problem-solving skills.
Ability to write quality unit and end–to–end tests; debug and optimize existing and new code
At least five years of experience with web application and SQL coding
Experience in the creation of VSTS / TFS build and release pipelines, custom build & release scripts, configuration of VSTS Artifactory & TFS drop location and TFS build controllers
Proficient in configuration of VSTS / TFS build server, controller and build / deployment agent pools on server
Proficiency with Microsoft Azure Infrastructure management
Experience with Ansible script creation and modification for environment configuration
Proficiency in ADO (VSTS) / TFS concepts on security control, backlog management, branching, merging and code reversal.
Proficiency in Git version control
Excellent troubleshooting all build and deployment issues
Proficiency with coding / debugging of custom build and deployment scripts in PowerShell, Ansible runbooks, YML builds, C# .Net, MS Build, BAT and vb10
Bachelor’s or Master’s degree preferably in engineering / IT or similar background.
Experience of 7+ years with Agile delivery frameworks (e.g. Scrum, SAFe etc.)
Knowledge of DevOps tools, practices and methodologies
Design thinking certifications highly desirable
While not required – the following certifications or their equivalent will be a major plus:
MCSE Cloud Platform and Infrastructure
MCSA Cloud Platform Solutions Associate,
Architect Exam priorities: Architecting Azure Solutions, AZ – 300 & AZ - 301, 70-533, AZ – 100 & 101 Implementing Azure Infrastructure Solutions"
: DevOps/Mongo/Java,Econtenti Inc,"Nether Providence Township, PA",$71 - $87 an hour,"Top 5 Must Have Skills:
Min 5 yrs experience supporting/maintaining Cloud-based applications
Min 3 yrs SQL scripts, MSSQL, MongoDB, MySQL, ElasticSearch, RabbitMQ
Experience with microservices and containerized applications
Experience with automating operational processes
Flexible schedule (Regular business hours, after hour work, 24/7 on-call availability)
Job Summary:
Seeking a Cloud Application Engineer with a robust and diverse technical background. The engineer will be the SME for more than one application and work closely with Engineering, Development, Support and business level teams, strongly emphasizing communication skills at multiple levels of the organization. This skillset is the core of what it takes to maintain and improve upon highly visible, complex and distributed systems. We seek for an engineer who is passionate about overseeing varieties of Cloud based applications and enthusiastic about the quality and truly enjoys what they do.
Essential Duties and Responsibilities:
Be part of Cloud Environment Services team which oversee all Cloud applications for internal teams such as Development, Sales, System Consultants and Training
Liaison between teams outside of SaaS
Document application configuration and diagram
Maintain and support existing applications, including: troubleshooting issues, implementing new features, application configurations, system/application upgrades, data restores
Engage in Communications across all areas of the organization
Engage in and improve the whole lifecycle of services—from inception and design, through deployment, operation and refinement
Support services before they go live through activities such as system design consulting, developing software platforms and frameworks, capacity planning and launch reviews
Maintain services once they are live by measuring and monitoring availability, latency and overall system health
Scale systems sustainably through mechanisms like automation and evolve systems by pushing for changes that improve reliability and velocity
Practice sustainable incident response and blameless postmortems
Required Qualifications/Skills:
5+ years of experience in Cloud based applications
3+ year experience working with some MongoDB, MariaDB, MySQL, ElasticSearch (Kibana/Logstash/Grafana), RabbitMQ, and others (Kubernetes)
3+ years of experience as a Microsoft Systems Engineer (IIS, AD, .NET, etc)
3+ years’ experience writing SQL query scripts
2+ years of experience working with VMWare or other Virtual Server Software
Experience with Java-based technologies: (J2SE, J2EE, JSP, JDBC a must)
Experience working with Linux and scripting
Experience with automation using PowerShell and/or MS System Center preferred
Exposure to working with SAN or NAS storage systems (vendors: EMC, NetApp, HP, etc.)
Exposure to Service API’s
Ability to multitask and adapt quickly to changing priorities
Availability to work evenings / nights on occasion.
Ability to lead and work in projects
Ability to communicate effectively (listening, presenting and questioning)
Positive team participation skills
Strong organizational, written and communication skills
Preferred Qualifications/Skills:
Technical writing
Communication
Auditing
Development Background
Experience in one or more of the following: C, C++, Java, Python, Go, Perl, Ruby or shell scripting
Experience with Unix/Linux operating systems internals and administration (e.g., filesystems, inodes, system calls) or networking (e.g., TCP/IP, routing, network topologies and hardware, SDN)
Interpersonal Skills:
Detail Oriented
Team Player
Creative
Self-Motivated
Ability to Multi-Task and work on different projects simultaneously
Strong Decision-Making Skills
Job Type: Full-time
Pay: $71.00 - $87.00 per hour
Schedule:
Monday to Friday
Experience:
DevOps: 5 years (Preferred)
Education:
Bachelor's (Preferred)
Work authorization:
United States (Preferred)"
Devops/Cloud Consultant,Data-Core Systems Inc,"Philadelphia, PA 19103 (Logan Square area)",None,"Data-Core Systems Inc.(www.datacoresystems.com) is seeking applications for Cloud & DevOps positions for various locations in the USA. We can't work with third party(C2C) for this positions.
Technical Requirements(As many as skill combination from the below list-Please mention what are the skills you have from the list)
Strong knowledge in AWS/Azure Cloud implementation
Strong knowledge in DevOps implementation & Practices
Strong knowledge in CICD pipeline implementation with best practices
Hands on experience in these tools & technology:
+ GitHub/BitBucket/Jenkins/Maven/Bamboo/JIRA etc
+ Testing Tools like Selenium/Cucumber/JMeter etc
+ Configuration Management System like (Ansible or Chef or Puppet)
+ Infrastructure-as-a-code (IaaC) using Terraform/Cloud Formation Template/ ARM Template
+ Scripting knowledge in Bash/Python/PowerShell
Containerization using Docker,Kubernetes
Exposure to Microservices, Database, API implementation
Application & Infrastructure Monitoring Tools like (AppDynamic, DataDog, Nagios etc)
Familiar with Agile/Scrum process
Certifications in AWS, Azure, Docker, Kubernetes etc.
Job Types: Full-time, Contract
Experience:
Information Technology: 10 years (Required)
DevOps: 5 years (Required)
Education:
Bachelor's (Required)
Work authorization:
United States (Required)
Work Remotely:
Temporarily due to COVID-19"
DevOps Engineer,Accenture,"Philadelphia, PA",None,"Do you want to gain valuable skills and experience working as a contractor?

ACCENTURE CONTRACTOR EXCHANGE Solves clients’ toughest challenges by providing cross-industry expertise, unmatched innovation, World-class tech and talent. Accenture's extended workforce (contractors) help us to bring it all together to deliver tangible business outcomes for our clients. Accenture works over 90 of the Fortune Global 100 and has made 18 consecutive appearances on the list of Fortune's ""World's Most Admired Companies."" And that's just the beginning. Now is the perfect time for you to consider opportunities through our Contractor Marketplace.

Project Description:
We are seeking an DevOps Engineer in Philadelphia, PA– Must be local or willing to relocate at own expenses.
This is a contract opportunity that does not offer sponsorship now or in the future.
Must be able to work on W2.
Responsibilities:
Design, build and configure applications to meet business process and application requirements.
Must have hands on experience working on Java and SpringBoot
Must have hands on experience working on AWS Kinesis
Must have hands on experience in Kafka and AWS SQS
Must have hands on experience in SQL/PLSQL
Must have hands on experience in Angular
Must have hands on experience supporting operations support including alert monitoring
Keywords:
SpringBoot

Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States and with Accenture (i.e., H1-B visa, F-1 visa (OPT), TN visa or any other non-immigrant status).

Candidates who are currently employed by a client of Accenture or an affiliated Accenture business may not be eligible for consideration.

Accenture is a Federal Contractor and an EEO and Affirmative Action Employer of Females/Minorities/Veterans/Individuals with Disabilities.

Equal Employment Opportunity
All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.

Job candidates will not be obligated to disclose sealed or expunged records of conviction or arrest as part of the hiring process.

Accenture is committed to providing veteran employment opportunities to our service men and women."
Devops/Cloud Consultant,"Data-Core System, Inc.","Philadelphia, PA 19102 (City Center West area)",None,"Data-Core Systems Inc. is a worldwide provider of information technology and business process outsourcing services. Data-Core combines technology innovation, business process expertise, and a global, collaborative workforce that exemplifies the future of work.

Data-Core Systems Inc. is seeking Devops/Cloud Consultants to be a part of our Consulting team. You will participate and effectively contribute to the design, development, and implementation of complex applications, often using new technologies. You will provide technical expertise and systems design for individual initiatives.

Education & Experience:

Bachelor’s degree in engineering or a bachelor’s degree in technology from a recognized university
Candidate should have recent work experience with US-based customers
Minimum 10 years of IT experience is required
Minimum 5 years of relevant experience is required

Technical Skills:(As many skills as possible from the below list)

Strong knowledge in DevOps implementation & Practices
Strong knowledge in AWS/Azure Cloud implementation
Strong knowledge in CICD pipeline implementation with best practices
Hands on experience in these tools & technology:
+ GitHub/BitBucket/Jenkins/Maven/Bamboo/JIRA etc
+ Testing Tools like Selenium/Cucumber/JMeter etc
+ Configuration Management System like (Ansible or Chef or Puppet)
+ Infrastructure-as-a-code (IaaC) using Terraform/Cloud Formation Template/ ARM Template
+ Scripting knowledge in Bash/Python/PowerShell

Containerization using Docker,Kubernetes
Exposure to Microservices, Database, API implementation
Application & Infrastructure Monitoring Tools like (AppDynamic, DataDog, Nagios etc)
Familiar with Agile/Scrum process

Certifications in AWS, Azure, Docker, Kubernetes etc."
Senior DevOps Engineer,Mobiquity,"Wayne, PA 19087",None,"Job Title: Senior DevOps Engineer
Location: Waltham, Wayne, Gainesville, or Remote
Job Description:
We are looking for a Senior DevOps Engineer with a great enthusiasm to work hand in hand with clients, application development, and architecture teams to provide solutions. You will be responsible for developing and enhancing relationships to acquire and continue expanding client delivery, ensuring superb client satisfaction.
Responsibilities:
Work closely with Architects, Developers, Security, and Clients to implement Cloud Architectures that span among Serverless, Container, Server, component-based, and Hybrid utilizing industry best practices.
Extensive knowledge of AWS (Pro-Level Certification preferred). Bonus points for Multi-Cloud (Azure, GCP).
Configure, deploy and maintain Cloud Infrastructure using Infrastructure as Code (IaC) such as CloudFormation or Terraform
Deep hands-on understanding High Availability, Scalability, Secure Cloud, Disaster Recovery, Release Management as implemented among various architectures eg: Serverless, Container, Server
Collaborate with your peers as a subject matter expert on Cloud, Release Management, Datacenter Technologies, Automation, Infrastructure as a Service (IaaS), IaC, SysOps and DevOps
Development of Release Management strategies for various architectures; Zero Downtime Deployments, Blue-Green, Canary Releases, etc.
Configuration and Management of Linux Servers to run custom built applications using Configuration Management (CM) tooling such as Ansible or Chef
Working knowledge of Networking, ability to implement secure cloud and hybrid networks.
Cognizance of security best practices
Implementation of monitoring for cloud and custom applications
Automation of deployment and release cycles using all of the above integrated into a Continuous Integration and Delivery tool such as Jenkins, GitLab CI, etc
About Mobiquity
Mobiquity is a digital consultancy that partners with the world's leading brands to design and deliver compelling digital products and services for their customers. Our approach balances human needs with usefully applied technology, unbound creativity with research and analytics, and agile development with strict engineering and security standards. Mobiquity’s end-to-end services consider every dimension of a digital business from marketing to IT, providing strategy, experience design, product engineering, cloud services, and analytics. Mobiquity is an AWS Partner Network (APN) Premier Consulting Partner and has worked with AWS since 2011 to deliver 100% cloud-based innovation to its clients. To learn more, visit https://mobiquity.com.
Mobiquity is a Proud Equal Opportunity Employer
Mobiquity is committed to the principle of equal employment opportunity (EEO) for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Mobiquity are based on business needs, job requirements, and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental, or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Mobiquity will not tolerate discrimination or harassment based on any of these characteristics. If you need assistance or an accommodation due to a disability, you may contact us.
Recruiting Agencies
Mobiquity does not accept unsolicited resumes sent to employees, via job listings, or to our recruiting team. Mobiquity is not responsible for any fees related to unsolicited resumes, and will consider any candidate for whom an agency has submitted an unsolicited resume to have been referred by the agency free of any charges or fees."
