Title,Company,Location,Salary,Description
Senior Full Stack JavaScript Software Engineer,ZenQMS,"Ardmore, PA 19003","$115,000 - $135,000 a year","ZenQMS’ product development team is looking for a Senior level full stack Javascript (Node JS) Software Engineer to join our development team in our Ardmore (just outside of Philadelphia) headquarters. This individual will be tasked with designing, implementing, and maintaining new features as well as modifications to existing features. Primary responsibilities will also include participation in agile development processes.
We want someone who will understand the bigger picture architecturally, design and build scalable web applications, write efficient code, and create an amazing user experience.
In addition to Node JS work, there will also be opportunities to work in React JS, .NET, and AWS.
Requirements
8+ years experience as a software engineer
4+ years experience with Node JS, in particular
Ability to scope, plan, and operate as a technical lead for projects
An understanding of common frameworks, architectural concepts, and how they impact implementation and deployment infrastructure
Demonstrable experience with relational databases, and a firm understanding of data modeling
Experience working in a distributed, collaborative development environment
Relevant degree, certification, or equivalent work experience
Experience in the following areas is a plus:
React JS
.NET
HTML 5, CSS
Entrepreneurial spirit and passion for elegant user interfaces
Ability to thrive in fast-paced, collaborative development environment
About ZenQMS
At ZenQMS, we develop amazing quality management software for the whole enterprise. Our cloud-based platform, which includes modules for Document Management, Issue/CAPA, Training, Audits and Supplier Management, offers companies the opportunity to improve quality compliance and save money.
Our business is built on an established and well-respected client base, and growing rapidly. We’ve been able to cultivate an environment that is both collegial and entrepreneurial, but still retains a bit of early-stage fun. Our headquarters is located in Narberth, PA, just outside of Philadelphia and only one block from the train station.
Job Type: Full-time
Pay: $115,000.00 - $135,000.00 per year
Benefits:
Dental Insurance
Flexible Schedule
Health Insurance
Paid Time Off
Schedule:
Monday to Friday
Supplemental Pay:
Bonus Pay
Experience:
Software Engineering: 8 years (Required)
Node JS: 4 years (Required)
Location:
Ardmore, PA 19003 (Required)
Work authorization:
United States (Required)
Work Location:
One location
Company's website:
zenqms.com
Work Remotely:
Temporarily due to COVID-19"
Senior Software Engineer,Cox IT Global / Veteran's Engineering,"Philadelphia, PA 19107 (Washington Square area)","$90,000 - $120,000 a year","U.S. citizenship is required for working this contract to perm position.
Hours: M-F 8:00 - 5:00
Do you want the job of the future? Are you a software or hardware designer with an interest in cars and you have an entrepreneurial spirit? Does the prospect of 5G type technologies in the auto industry and traffic engineering fascinate you?
Then this might be the job for you. We are seeking hardware and software engineers to design the future of traffic management and control systems that will eventually be the ubiquitous standard for every vehicle.
If you have a BS or MS in Computer Science or related field with hands-on knowledge of designing software for wireless communications protocols such as BlueTooth, WiFi, DSRC, CV-2X, radar, or sensor technologies, then we can give you a design position which will provide a stimulating, creative and long term career path in as a fledgling industry that is poised to change how we drive...
Bachelor's Degree - computer science, or related field is required.
Required Experience: 7 years minimum in software development, with the appropriate degree, from the list above
HOW TO EXPEDITE YOUR APPLICATION:
Should you apply, PLEASE include your degree concentrations on your resume.
Please make sure your employment dates are in this format: mm/yyyy.
Please target your resume to ALL Required skills, truthfully speaking, of course. Make sure to mention the skill/experience in EACH job you have used it. If it is not on your resume, the assumption is you have not done it.
If you have a long-format resume, please submit that one.
Position
TCI is seeking a high-energy, experienced server-side software developer with solid experience in C, Java, Python, and like languages to help drive design, development, and ongoing commercialization of TCI systems. Reporting to the Sr. Director of Software Engineering, the Sr. Software Engineer serves as a key team member and an active participant in the making of strategic technology decisions affecting TCI products.
The Senior Software Engineer will have primary responsibility for developing the architecture, code base, integration, and implementation of server-side software in a multi-platform, real-time environment that supports the various mobile applications. In this role, this person will work in an exciting and engaging agile environment where they will be encouraged to expand their skills, test their creative boundaries, share new ideas, and most importantly - have fun.
Skills / Responsibilities:
Contribute to cross-functional projects in an Agile/Scrum environment.
Implement automated unit and integration tests (TDD preferred).
Translate verbal requirements into written use cases and testable stories.
Design, build and maintain efficient, reusable, and reliable code in a cloud environment.
Write maintainable, readable code.
Identify bottlenecks and bugs, and devise solutions to anticipate, mitigate, and address these issues ahead of time.
Operationally support systems for the business.
Implement and Monitor analytics to ensure the health of systems.
Qualifications
· Bachelor's degree in Computer Science or related field.
At least 7 years of Software Engineering experience.
At least 3 years of experience with PHP.
At least 1 year of experience with Laravel.
At least 6 months of experience with Python, Python 3 is a plus.
Experience with TailwindCSS.
Experience with Vue.Js or a similar Javascript framework.
Experience with Object-Oriented Programming.
SQL with either MySQL or PostgreSQL.
Knowledge of the cloud with AWS (Preferred), Azure, DigitalOcean or similar cloud environments
Experience with Linux and knowledge about Shell scripting.
Experience with Java, C++, Docker is a plus.
Experience with Apache Tomcat application server
Experience with cloud-based software architectures, AWS preferred
Depth of experience with complex, real-time delivery of content in both mobile applications and server-based systems.
Experience with mapping/routing engines and location-based services.
Strong problem solving and decision-making skills as well as strong communication skills
Job Types: Full-time, Contract
Pay: $90,000.00 - $120,000.00 per year
Benefits:
401(k) Matching
Dental Insurance
Flexible Schedule
Health Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
COVID-19 considerations:
All COVID-19 protocols are observed.
Experience:
software development: 7 years (Required)
PHP: 3 years (Required)
Laravel: 1 year (Required)
Python: 1 year (Preferred)
Education:
Bachelor's (Required)
Work authorization:
United States (Required)
Contract Length:
More than 1 year
Full Time Opportunity:
Yes
Work Location:
One location
Visa Sponsorship Potentially Available:
No: Not providing sponsorship for this job
This Job Is:
A job for which military experienced candidates are encouraged to apply
Open to applicants who do not have a high school diploma/GED
A job for which all ages, including older job seekers, are encouraged to apply
Open to applicants who do not have a college diploma
A job for which people with disabilities are encouraged to apply
Company's website:
www.vetengineering.com
Company's Facebook page:
https://www.facebook.com/vetengineering
Benefit Conditions:
Waiting period may apply
Work Remotely:
No"
Sr. Python Software Engineer (Clean Tech job),UtilityAPI,United States,"$110,000 - $130,000 a year","This is the application for a Senior Python software engineering position at UtilityAPI.
*
Estimated time to complete: 5-10 minutes.
*
*
UtilityAPI is a mission-driven company that is fighting climate change by helping solar, storage, energy efficiency, and energy management companies access the utility bill and usage data they need for their projects. Lack of access to data is a key choke-point for many companies in renewable energy, and our automation helps shorten the sales cycle and lower their customer acquisition costs. Our customers love us.
We have a diverse leadership team and we value the insights that a diverse team can bring. We encourage applications from members of groups that have been traditionally underrepresented and underestimated in tech, including women, people of color, and people with disabilities.
==Job Description==
You will be helping us fight climate change. You’ll be writing features for our product that is used by over 1000 customers, provide suggestions for the junior engineers, and be a technical resource for understanding the product, for both internal and external questions.
Our codebase (AWS, Python, Django, Postgres, Redis) is well organized, documented, and tested. You are welcome to work remotely in the United States or in our office in downtown Oakland, if we return to work there.
You'll succeed if you're someone who can be kind to your co-workers, who wants to create software that makes a difference in the world, who wants to create software that works well, and who genuinely wants to work at a small-but-growing startup.
REMOTE WORK: OK (U.S. Only)
==Compensation==
* Salary depending on experience and location
* Stock options
* Medical, dental, vision insurance
* 401k
==Requirements==
* U.S. Citizen, Permanent Resident, or non-expiring Visa not requiring sponsorship
* At least 5 years of website Python back-end experience
* At least 5 years of website front-end experience, including HTML, CSS, and Javascript
* Experience collaborating with UX and UI designers on new features/products
* Experience with vanilla JS website development (e.g. no front end-frameworks)
* Solid understanding of web fundamentals (HTTP methods, cookies, headers, CORS, iframes, etc.)
* Solid understanding of common web cybersecurity vulnerabilities (XSS, CSRF, etc.)
==Preferred==
* Experience with Django
* Familiarity with Postgres
* Familiarity with Redis
* Familiarity with Bootstrap
==How To Apply==
Go to https://bit.ly/33u2kI2 and fill out the Google form
*
Job Type: Full-time
Pay: $110,000.00 - $130,000.00 per year
Benefits:
401(k)
Dental Insurance
Flexible Schedule
Health Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
Work Location:
Fully Remote
This Job Is:
A job for which military experienced candidates are encouraged to apply
A job for which all ages, including older job seekers, are encouraged to apply
Open to applicants who do not have a college diploma
A job for which people with disabilities are encouraged to apply
Company's website:
https://utilityapi.com
Work Remotely:
Yes"
Senior Software Engineer at Einstein Medical Center,Cerner,"Philadelphia, PA",None,"Senior Software Engineer at Einstein Medical Center
Philadelphia, Pennsylvania, United States
Development
Job Description
As a Senior Software Engineer you will analyze, prepare, and process data sets to be consumed for direct insights, statistical modeling or other analytical exploration for internal and external clients. You will be part of the full ETL (Extracting/Transforming/Loading) data process. You will consult on data and modelling impacts, guiding clients through inter dependencies and analysis decision impacts.

You will assist with data analysis to identify and quantify realized value and opportunities for clients. You will be responsible for obtaining and analyzing relevant data and synthesizing both quantitative and qualitative results. Various programming languages, statistical software, visualization tools, and client environments will be used. This requires the ability to learn independently and apply new skills quickly.
Engineering & Technology
Innovation occurs everywhere but maybe you are also looking for a purpose. Nothing is more impactful than improving the health of others. Develop cutting edge technologies that have real meaning.
Qualifications
Basic Qualifications:
Bachelor’s degree in Computer Science, Health Care or related field, or equivalent relevant work experience
At least 3 years of programming experience
Operational or health care metrics work experience
Preferred Qualifications:
Strong experience with CCL development or other programming languages
Experience with Business Intelligence software (Tableau or PowerBI ..etc)
At least 1 year of Health Care Information Technology (HCIT) project management, sales or consulting work experience
Additional Information
Applicants for U.S. based positions with Cerner Corporation must be legally authorized to work in the United States. Verification of employment eligibility will be required at the time of hire. Visa sponsorship is not available for this position.

Some Cerner positions may be obligated to comply with client-facing requirements and occupational health requests, including but not limited to, an immunization set, an annual flu shot, an annual TB screen, an updated background check, and/or an updated drug screen.
Relocation Assistance Available for this Job:
No
Virtual Eligible Job
No
Cerner is a place where people are encouraged to innovate with confidence and focus on what is important – people’s health and the care they receive. We are transforming health care by developing tools and technologies that make it more efficient for care providers and patients to navigate the complexity of our health. From single offices to entire countries, Cerner solutions are licensed at more than 25,000 facilities in over 35 countries.

Cerner’s policy is to provide equal opportunity to all people without regard to race, color, religion, national origin, ancestry, marital status, veteran status, age, disability, pregnancy, genetic information, citizenship status, sex, sexual orientation, gender identity or any other legally protected category. Cerner is proud to be a drug-free workplace.
If you are an individual with a disability who is unable to use our online tools to search and apply for jobs, and need assistance or an accommodation in the recruiting process, please contact us by calling 866-434-1543 or by emailing ."
Frontend Developer - Senior,CTI LLC,"Philadelphia, PA",$65 - $70 an hour,"Role Description: Responsible for technical analysis, development, test planning/execution, deployment, of SAP reporting capabilities (UI5, BO, Data Services) developed on SAP BW/HANA data flows and the associated Microsoft TFS Build & Release pipelines,
* UI5 -
* JavaScript -
* HTML -
Automated Test Tools
Job Type: Contract
Pay: $65.00 - $70.00 per hour
Schedule:
Monday to Friday
Work authorization:
United States (Required)
Full Time Opportunity:
No"
Senior Software Engineer,Berkadia Commercial Mortgage,"Philadelphia, PA 19102 (City Center West area)",None,"At Berkadia we are redefining the industry with long-term investments in people and technology that deliver actionable insights and create the best customer experience. From acquisition to disposition, we service all commercial property types including multifamily, retail, office, industrial, affordable housing, seniors housing, hotels, student housing, and manufactured housing.

The Opportunity
The Senior Software Engineer will oversee and provide technical leadership within team responsible for architecting, adapting, and implementing software solutions that support enterprise-wide business strategies and objectives. As a Senior Software Engineer you will work with cross-functional product teams to develop and deliver new products and features as well on the migration of legacy solutions.

What you will get to do at Berkadia
Work with an organization that is committed to being Agile and Innovative
Directly impact the way we develop technology at Berkadia, be an active member of product development
Drive your team to success through mentorship, influence and setting best practices

Responsibilities
Analyze requirements and collaborate with the product owners, team members and architects to design and implement solutions
Use TDD practices to build and test code to validate functionality against requirements and to ensure quality software
Document designs and code to the right level to accurately estimate complexity and time in an agile fashion
Iterate through incremental software development lifecycle wherein priorities, requirements and scope evolve, sometimes rapidly, over time and often mid-project (be agile)
Demonstrate self-development by staying current with new technology and design patterns
Mentor junior developers
Other duties as assigned.

What someone will need to be successful in this role
Adhere to Berkadia’s policies and exhibit proficiency and understanding of Berkadia’s Values and position-specific skills.
Ability to work in a team environment and adapt to a rapidly changing environment
Ability to work in an environment with high degree of ambiguity (previous start-up like experience could be helpful)
5+ years of Software Development experience using MEAN OR MERN stack with React.js, Angular 7.0 and a Node backend (.NET, PHP, Java experience is acceptable, must have willingness to learn Node.js)
An understanding of developing software (both frontends and backend), and an understanding of software development practices in an enterprise environment
Experience using difference SaaS technologies/stacks/modules and understanding of which are best when implementing RESTful microservices, with an emphasis on latest Node/Express and unit testing using Mocha/Chai
Experience using different JavaScript frontend frameworks/tools/libraries with an emphasis on latest Angular
An understanding of relational (SQL) and non-relational databases (NoSQL)
Able to use version control (git) and other build, packaging & release management tools
Passionate about developing quality products that exceed users’ expectations
Proficient following Scrum Methodologies and other Agile practices and a willingness to “be agile”
Understanding of development best practices including TDD, CI/CD
Excellent interpersonal, verbal and written communication skills as well as strong logical, analytical, problem solving skills and reporting skills
Bachelor's Degree in Computer Science or related field is preferred

Employee Benefits
18 PTO days + 2 floating holidays & 10 paid holidays per year
Generous tuition reimbursement towards a Masters or Bachelors degree
401K match up to 6%
12 weeks of 100% paid paternity/maternity leave
Mentorship with industry professionals

About us
Berkadia, a joint venture of Berkshire Hathaway and Jefferies Financial Group, is a leader in the commercial real estate industry, offering a robust suite of services to our multifamily and commercial property clients. Powered by deep relationships and industry-changing technology, our people sell, finance, and service commercial real estate, providing support for the entire life cycle of our clients’ assets. Our unique ownership structure allows us to put the client’s interests first and creates a marketplace that delivers a superior experience.
We believe people matter. In fact, our people are the heart and soul of everything we do here. That’s why we employ the top CRE professionals in our industry, and make sure we invest in their personal development and training. With a focus on innovation and insights, we set the bar high - and keep it there - so that we provide best-in-class service for our clients.
Berkadia is an equal opportunity employer and affords equal opportunity to all applicants and employees for all positions without regard to race, color, religion, gender, national origin, age, disability, veteran status or any other status protected under local, state or federal laws."
Senior Security Software Engineer,Praetorian,United States,"$130,000 - $180,000 a year","SENIOR SECURITY SOFTWARE ENGINEER
Praetorian Security, Inc., an industry leading security tech company is seeking a full-time Senior
Security SoftwareEngineer to join our team and work alongside some of the best and the brightest minds in the security industry. Are you personable and team-oriented with a relentless desire to execute and serve customers well? Are you familiar with modern technology stacks with at least 2 years of cyber security experience? Do you want to work for an Inc. 500 company that has been voted one of the Best Places to Work? Are you looking for competitive pay, a robust benefits package, and the ability to work fully remote? If so, this may just be the perfect engineering role for you!
ABOUT PRAETORIAN SECURITY, INC.
Praetorian is a collective of highly technical software engineers and developers with decades of industry experience. Our singular focus on information security solutions delivers unbiased expertise.
The value we provide stems directly from our engineering culture—a continuous pursuit of efficiency and improvement in all operations. From proprietary methodologies and toolsets to project management and back office operations, we deliver quality results while decreasing your costs.
Core Values:
Put the customer first | Everything else will work itself out. Make Craters | Find success and meaning through impactful work. Follow your passion | If your vocation is your avocation, You Will never work a day in your life. Performance matters | This is a small company trying to do big things. Every individual effort counts. Try harder | Failure is inevitable, but fortitude will prevail. Nothing is impossible. Orient to action | Make decisions. Make mistakes. Just take the initiative. Default to open | Bias toward brutal truth over hypocritical politeness. Struggle and celebrate together | Everything we do, we do as a team. Be humble | Constantly pressure test your opinions, convictions, and believability. Lean into discomfort |
Growth and innovation comes from tension and change.
As an Inc. Best Places to Work, Inc. 500 | 5000, CyberSecurity 500, and Austin Fast 50 Award recipient, we are seeking an individual that understands the professional and personal growth attached to this opportunity and who has the corresponding internal drive to maximize it.
A DAY IN THE LIFE OF A SENIOR SECURITY ENGINEER
A typical day of a Senior Security Engineer includes software hacking to hardware hacking. You will be identifying nuanced vulnerabilities in advanced systems, developing mitigation strategies for keeping customers safe, developing comprehensive reports and presentations for our customers, and providing technical mentorship for recent hires. We help secure everything from cryptocurrency exchanges and space telescopes to autonomous vehicles and the electric grid. You will have the opportunity to work with some of the best security engineers in the world who hail from organizations such as Amazon, CIA,
Facebook, Google, Microsoft, NSA, Redhat, Sun Microsystems, and US Air Force.
QUALIFICATIONS OF A SENIOR SECURITY ENGINEER
2+ years of cyber security experience
2+ years of software programming/scripting experience
Offensive security, red team, and penetration testing experience
Strong oral and written communication skills
Familiarity with modern technology stacks
BS in computer science, engineering, info systems, physics, or mathematics
SCHEDULE AND COMPENSATION FOR A SENIOR SECURITY ENGINEER
This position will be Monday through Friday 9am – 5pm with a flexible schedule and the ability to work from home. Compensation will be $130,000 - $180,000 annually depending on experience. We also offer a robust benefits package including highly competitive salary, annual performance-based incentive compensation, employee stock option plan, 20% bench-time for improving our customers, our practice, and ourselves, $5,000 annual budget for training, certifications, and conferences, 70% company coverage on health insurance premium, 4% company 401K matching vested immediately, and no formal vacation policy with flexible hours and working environment.
JOIN OUR TEAM
Interested in becoming the Senior Security Engineer? Do you share our core values? Can you bring experience and collaboration to the team? Are you ready to work in a great environment and join a team who is focused on a common mission? Are you ready to work excellent hours, with competitive pay, and enjoy going to work every day? If so, you may just be the perfect fit for our team! Please fill out our quick, mobile-friendly, 3 minute application.
Job Type: Full-time
Pay: $130,000.00 - $180,000.00 per year
Benefits:
401(k)
401(k) Matching
Dental Insurance
Health Insurance
Paid Time Off
Relocation Assistance
Vision Insurance
Schedule:
Monday to Friday
Experience:
Cybersecurity: 2 years (Required)
Offensive Security, Red Team, and Penetration Testing: 1 year (Preferred)
Software Development: 2 years (Preferred)
Education:
Bachelor's (Preferred)
Work Location:
Fully Remote
This Job Is:
A job for which military experienced candidates are encouraged to apply
A job for which all ages, including older job seekers, are encouraged to apply
Company's website:
Alta Scout
Company's Facebook page:
Alta Scout
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Yes"
Senior Software Engineer,Exyn Technologies,"Philadelphia, PA",None,"Senior Software Engineer

The Role:
At Exyn Technologies, we are excited about the future of robotics in the realm of aerial autonomy. Groundbreaking aerial robots require great engineering, and we’re looking for a passionate and dedicated Senior Software Engineer to join our growing team.
As a Senior Software Engineer, you will be responsible for creating and implementing the software systems powering our autonomous products. You will work with a dynamic, multi-disciplinary team to further aerial autonomy and help deploy aerial robots in commercial environments. There will be opportunities to support field testing, work with customers and investors, as well as mentor members of the team. Exyn is a great place to work, learn, and grow. Additional responsibilities include, but are not limited to:
Designing and implementing software on hardware-based products and systems
Designing, developing, coding, testing and debugging system software
Analyzing and enhancing efficiency, stability, and scalability of system resources
Development of robust engineering tests.
Commercial deployment of embedded systems
Adding structure to the software development process and release process
Helping with code standards and code reviews
Simulation
Apply If:

You have a B.S., M.S. or Ph.D. in Robotics, Computer Science, Electrical Engineering, or related field (or commensurate experience).
You are a senior level programmer, ideally with 8-10 years’ experience in C or C++
You have familiarity with software configuration management tools, defect tracking tools, and peer review
Bonus points for -

Experience with robotics
Experience with aerial systems in general or drones
Experience with hardware and software testing + QA
Testing automation expertise

Why Exyn? Our Culture Promotes:
Empathy. We listen and assume positive intent
Inclusion. We pursue new ideas and fresh perspectives
Integrity. We operate with honesty and respect
Learning. We create opportunities for growth, personally and professionally
Intellectual Curiosity. We reward inquiry, experimentation, and the pursuit of greater knowledge
Transparency. We encourage open and honest communication.
Collaboration. We work together to meet the needs of our customers, company, and peers
Excellence. We deliver outstanding products and services to our customers.
Friends & Family. We thrive when we feel connected
Grit. We prepare to weather the dips and the dives in the path to success
Exyn Technologies is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.
Powered by JazzHR
CeWdwWNZWS"
Senior Software Engineer,"Simtec Global, LLC","Philadelphia, PA","$90,000 - $125,000 a year","We are seeking a high-energy, experienced server side software developer with solid experience in C, Java, Python, and like languages to help drive design, development, and ongoing commercialization of TCI systems. Reporting to the Sr. Director of Software Engineering, the Sr. Software Engineer serves as a key team member and an active participant in making of strategic technology decisions affecting TCI products.
The Senior Software Engineer will have primary responsibility for developing the architecture, code base, integration, and implementation of server-side software in a multi-platform, real-time environment that supports the various mobile applications. In this role, this person will work in an exciting and engaging agile environment where they will be encouraged to expand their skills, test their creative boundaries, share new ideas, and most importantly - have fun.
Skills / Responsibilities
Contribute to cross-functional projects in an Agile/Scrum environment.
Implement automated unit and integration tests (TDD preferred).
Translate verbal requirements into written use cases and testable stories.
Design, build and maintain efficient, reusable, and reliable code in a cloud environment.
Write maintainable, readable code.
Identify bottlenecks and bugs, and devise solutions to anticipate, mitigate, and address these issues ahead of time.
Operationally support systems for the business.
Implement and Monitor analytics to ensure the health of systems.
Qualifications
Bachelor's degree in Computer Science or related field.
At least 7 years of Software Engineering experience.
At least 3 years of experience with PHP.
At least 1 year of experience with Laravel.
At least 6 months of experience with Python, Python 3 is a plus.
Experience with TailwindCSS.
Experience with Vue.Js or a similar Javascript framework.
Experience with Object-Oriented Programming.
SQL with either MySQL or PostgreSQL.
Knowledge of the cloud with AWS (Preferred), Azure, DigitalOcean or similar cloud environments
Experience with Linux and knowledge about Shell scripting.
Experience with Java, C++, Docker is a plus.
Experience with Apache Tomcat application server
Experience with cloud-based software architectures, AWS preferred
Depth of experience with complex, real-time delivery of content in both mobile applications and server based systems.
Experience with mapping / routing engines and location-based services.
Strong problem solving and decision-making skills as well as strong communication skills
Job Type: Full-time
Pay: $90,000.00 - $125,000.00 per year
Schedule:
8 Hour Shift
Experience:
Software Engineering: 7 years (Preferred)
PHP: 3 years (Preferred)
Laravel: 1 year (Preferred)
Python: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Language:
English (Preferred)
Work authorization:
United States (Preferred)
Work Location:
Multiple locations
Relocation Assistance Provided:
No
Visa Sponsorship Potentially Available:
No: Not providing sponsorship for this job
This Job Is:
A job for which all ages, including older job seekers, are encouraged to apply"
Senior Software Engineer,Promptworks,"Philadelphia, PA 19107 (Washington Square area)",None,"About Promptworks

Technology can solve massive challenges, even the ones we haven’t yet imagined. But in 2018, poor quality software cost U.S. organizations $2.8 trillion. Promptworks raises the bar by building ingenious software that lasts. With deep technical expertise, human-centric design thinking, and transparent processes, we confidently engineer masterful products for companies such as Comcast, Twitter, Sony, URBN, IQVIA and Honeygrow.

At this time, we aren’t actively hiring for this role, but we anticipate we will be soon. Please apply if you would like to be considered as this role becomes available in the future.

About the Position
As an engineer at PromptWorks, your responsibilities would include:
Writing quality software for clients and providing them with technical direction
Working well in a small team and independently when necessary
Participating in daily stand up and weekly planning & retrospective meetings
Staying abreast of technology news, tools, and techniques
Taking ownership of our work-product

Senior engineers have the following additional responsibilities:
Interfacing directly with our clients, gathering their needs and managing their expectations
Architecting, estimating and planning technical solutions to problems
Mentoring other PromptWorks engineers and our clients’ engineers

This is a FT, on-site position that requires most days spent working in our Center City office, M - F standard working hours (with some flexibility). Relocation assistance is available.

We hire passionate, pragmatic, intelligent, well-spoken, knowledge-hungry, fun-loving people.
You should have 5+ years of professional experience with the following:
Ruby or Python
A variety of web frameworks (preferably including Ruby on Rails, Flask, Django, Node.js)
JavaScript
Writing automated unit and feature tests
Knowledge and appreciation of REST
Deploying to and managing infrastructure on the cloud
Git & GitHub
HTML, CSS
Relational databases (e.g. PostgreSQL)
Key/value stores (e.g. Redis)
Bash, Linux
Experience with any of the following preferable:
A variety of client-side JavaScript frameworks & tools (preferably including Redux, Lodash, or Ember.js)
Mobile development experience (iOS and Android)
Contributing to open-source software projects
Contributing to software communities by organizing or speaking at user groups, meetups or conferences
Shell scripting
Benefits:
R&D time for internal projects, products, and professional development
Paid travel for speaking at & attending conferences
Ergonomic work stations including seated & standing pair programming stations
100% company-paid medical, dental, and vision insurance
401(k) plan with company matching
Monthly work-from-home flexibility
FSA and commuter benefits
Collegial atmosphere with family-style lunch twice a week on us
We value a healthy work-life balance, requiring about 30 billable hours per week

Diversity, Equity, and Inclusion

Promptworks is an organization committed to a diverse, equitable, and inclusive environment. We support and protect diversity by valuing individuals and groups free from prejudice, and by fostering a climate where equity and mutual respect are intrinsic. We hold ourselves accountable to this commitment through a longstanding voluntary committee dedicated to advancing DEI within our organization.

We do not discriminate against employees or applicants based on gender identity or expression, sexual orientation, race, religion, age, national origin, citizenship, pregnancy status, veteran status, or any other difference.
Promptworks is proud to be an equal opportunity workplace dedicated to pursuing and hiring an inclusive workforce.

Direct hires only
Sorry recruiters, we don't pay hiring or placement fees. Stop blowing up our phones, please."
