Title,Company,Location,Salary,Description
Senior Engineer (React/NodeJS) - Nordstrom Styling Experienc...,Nordstrom Inc,Remote,"$114,000 - $176,500 a year","
Designs software/network/systems deployment processes to minimize downtime and understands how to set up alerts that will detect failures.
"
Senior Software Engineer,Nordstrom Inc,+5 locationsRemote,"$114,000 - $176,500 a year","
A Senior Engineer 1 is part of a key team of Nordstrom Technology professionals that applies scientific, mathematical and social principles to design, build,…
"
Senior Software Engineer for Web Development,General Dynamics Information Technology,+5 locationsRemote,"$77,875 - $130,062 a year","
GDIT technologists, scientists, and innovators are experts in moving applications to the cloud, modeling massive data sets in high-performance computing…
"
Senior Software Engineer,Disney Streaming,"Remote in New York, NY+2 locations",None,"
Work closely with our team of UX designers, product managers and engineers around the globe to create best-of-class, delightful, TV-watching experiences.
"
Senior Software Engineer,Netflix,+5 locationsRemote,None,"
You will partner with Netflix engineers, JVM vendors, and the Java & JVM community-at-large to identify and deliver the best runtime solutions, tooling, and…
"
Senior Middleware Engineer/Oracle Fusion,General Dynamics Information Technology,Remote,"$77,875 - $130,062 a year","
GDIT technologists, scientists, and innovators are experts in moving applications to the cloud, modeling massive data sets in high-performance computing…
"
Senior Software Packager,CB&I,Remote,$50 - $60 an hour,"
Work with fellow MECM team members to get software deployed to business units.
Position Summary: Cyber Security Vulnerability Remediation, Jobsite package…
"
Senior Software Packager,CB&I,Remote,$50 - $60 an hour,"
Work with fellow MECM team members to get software deployed to business units.
Position Summary: Cyber Security Vulnerability Remediation, Jobsite package…
"
"Senior Software Engineer, Frontend (CSS / HTML / JS)",Project Admission,Remote,"$100,000 - $130,000 a year","
You will work with a veteran development team responsible for designing, implementing, and shipping new features as well as improving existing features and user…
"
Senior Software Engineer,Microsoft,"Remote in Redmond, WA+11 locations",None,"
Work with software, hardware and data engineering teams on operationalizing analytical solutions.
Analytics team in Cloud Hardware Experience Engineering (CHEE)…
"
Senior Software Engineer,"Merkle Root, Inc",Remote,"$65,000 - $150,000 a year","
Participate as a hands-on technical leader, building product features and making decisions with software architects to shape the way our technology is built.
"
Senior Software Engineer (Front-End),Softcrylic,Remote,"$115,000 - $135,000 a year","
Our clients range from the travel and leisure industry to publishing, retail and banking.
This is a full-time role.
Code versioning tools, such as Git.
"
"Senior Software Engineer, CDaaS Platform - Insights - 100% R...",Equifax,"Remote in Frankfort, KY+1 location",None,"
7+ years of experience in software engineering.
Spend 10-15% of your time in a sales engineer capacity, so must be a strong communicator.
"
Software Engineer II or Senior Software Engineer,ACT,Remote,"$85,000 - $110,000 a year","
Architecting software solutions, and technical design in continuous integration environment.
Recommend tools and standards to ensure software quality and…
"
Senior Software Engineer,"Kindred Motorworks, Inc.",Remote,"$120,000 - $160,000 a year","
A senior software engineer will design, develop, refactor, and maintain applications used by Kindred Motorworks to build modernized classic cars.
"
Senior Embedded Software Engineer- 18736-1,Infinite Computing Systems,+1 locationRemote,$50 - $55 an hour,"
Solid understanding of software development processes for real-time embedded hardware/software applications.
Embedded software: 5 years (Preferred).
"
